title,genres,cast,crew,runtime,vote_count,monthFact,actorFact,genFact,budget,revenue,popularity,vote_average,IMDB,rotten,metaC,release_date
First Blood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]","{0: 'Sylvester Stallone', 1: 'Richard Crenna', 2: 'Brian Dennehy', 3: 'Bill McKinney', 4: 'Jack Starrett', 5: 'Michael Talbott', 6: 'Chris Mulkey'}",Ted Kotcheff,93,1488,0,0,1,15000000,125212904,63.071046,7.2,0.77,0.88,0.62,1982-10-22
Happily N'Ever After,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'George Carlin', 1: 'Andy Dick', 2: 'Sarah Michelle Gellar', 3: 'Lisa Kaplan', 4: 'Michael McShane', 5: 'Rob Paulsen', 6: 'Freddie Prinze Jr.'}",Greg Tiernan,75,104,0,0,1,47000000,38085778,10.410933,4.6,0.45,0.04,0.28,2006-09-14
Mary Reilly,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Julia Roberts', 1: 'John Malkovich', 2: 'George Cole', 3: 'Michael Gambon', 4: 'Glenn Close', 5: 'Kathy Staff', 6: 'Michael Sheen'}",Stephen Frears,104,74,0,1,1,47000000,12379402,6.067212,5.7,0.58,0.26,0.44,1996-02-23
My Best Friend's Wedding,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Julia Roberts', 1: 'Dermot Mulroney', 2: 'Cameron Diaz', 3: 'Rupert Everett', 4: 'Philip Bosco', 5: 'M. Emmet Walsh', 6: 'Rachel Griffiths'}",P.J. Hogan,105,584,0,1,1,38000000,299288605,15.401855,6.3,0.63,0.73,0.5,1997-06-19
Insomnia,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Al Pacino', 1: 'Robin Williams', 2: 'Hilary Swank', 3: 'Maura Tierney', 4: 'Martin Donovan', 5: 'Nicky Katt', 6: 'Paul Dooley'}",Christopher Nolan,118,1148,1,1,1,46000000,113714830,41.322708,6.8,0.72,0.92,0.78,2002-05-24
Star Trek: First Contact,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Patrick Stewart', 1: 'Jonathan Frakes', 2: 'Brent Spiner', 3: 'LeVar Burton', 4: 'Michael Dorn', 5: 'Gates McFadden', 6: 'Marina Sirtis'}",Jonathan Frakes,111,661,0,0,1,46000000,150000000,25.6713,7,0.76,0.93,0.71,1996-11-21
Jonah Hex,"[{""id"": 28, ""name"": ""Action""}, {""id"": 37, ""name"": ""Western""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Josh Brolin', 1: 'John Malkovich', 2: 'Megan Fox', 3: 'Michael Fassbender', 4: 'Will Arnett', 5: 'Michael Shannon', 6: 'Aidan Quinn'}",Jimmy Hayward,80,420,0,0,1,47000000,10539000,22.581313,4.4,0.47,0.12,0.33,2010-06-18
Courage Under Fire,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10752, ""name"": ""War""}]","{0: 'Denzel Washington', 1: 'Meg Ryan', 2: 'Lou Diamond Phillips', 3: 'Matt Damon', 4: 'Michael Moriarty', 5: 'Michole Briana White', 6: 'Bronson Pinchot'}",Edward Zwick,117,232,1,1,1,46000000,100860818,12.971122,6.2,0.66,0.85,0.77,1996-07-04
Liar Liar,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Jim Carrey', 1: 'Maura Tierney', 2: 'Cary Elwes', 3: 'Jennifer Tilly', 4: 'Swoosie Kurtz', 5: 'Sara Paxton', 6: 'Anne Haney'}",Tom Shadyac,86,1424,0,0,1,45000000,181000000,26.721386,6.4,0.68,0.81,0.7,1997-03-21
The Infiltrator,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Bryan Cranston', 1: 'Diane Kruger', 2: 'John Leguizamo', 3: 'Daniel Mays', 4: 'Benjamin Bratt', 5: 'Amy Ryan', 6: 'Elena Anaya'}",Brad Furman,127,573,1,0,1,25000000,15436808,24.672234,6.6,0.7,0.7,0.66,2016-07-13
The Flintstones,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'John Goodman', 1: 'Elizabeth Perkins', 2: 'Rick Moranis', 3: ""Rosie O'Donnell"", 4: 'Kyle MacLachlan', 5: 'Halle Berry', 6: 'Elizabeth Taylor'}",Brian Levant,91,543,1,0,1,46000000,341631208,28.964162,5,0.48,0.22,0.38,1994-05-26
Taken 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Liam Neeson', 1: 'Maggie Grace', 2: 'Famke Janssen', 3: 'Rade Serbedzija', 4: 'Luke Grimes', 5: 'Jon Gries', 6: 'Leland Orser'}",Olivier Megaton,91,2757,0,1,1,45000000,376141306,49.353524,6.1,0.63,0.21,0.45,2012-09-27
Scary Movie 3,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Pamela Anderson', 1: 'Jenny McCarthy', 2: 'Marny Eng', 3: 'Charlie Sheen', 4: 'Simon Rex', 5: 'Jianna Ballard', 6: 'Jeremy Piven'}",David Zucker,84,912,0,0,1,48000000,220673217,36.585509,5.8,0.55,0.36,0.49,2003-10-24
Miss Congeniality,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Sandra Bullock', 1: 'Benjamin Bratt', 2: 'Michael Caine', 3: 'Candice Bergen', 4: 'William Shatner', 5: 'Ernie Hudson', 6: 'John DiResta'}",Donald Petrie,111,961,0,1,1,45000000,212000000,32.624355,6.1,0.62,0.42,0.43,2000-12-14
Journey to the Center of the Earth,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Brendan Fraser', 1: 'Josh Hutcherson', 2: 'Anita Briem', 3: 'Seth Meyers', 4: 'Jean Michel Paré', 5: 'Jane Wheeler', 6: 'Frank Fontaine'}",Eric Brevig,93,1309,1,0,1,45000000,101702060,53.090422,5.8,0.58,0.61,0.57,2008-07-10
The Princess Diaries 2: Royal Engagement,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Anne Hathaway', 1: 'Julie Andrews', 2: 'Héctor Elizondo', 3: 'John Rhys-Davies', 4: 'Heather Matarazzo', 5: 'Chris Pine', 6: 'Callum Blue'}",Garry Marshall,113,697,1,1,1,40000000,95149435,30.002907,6,0.58,0.25,0.43,2004-08-06
The Pelican Brief,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]","{0: 'Julia Roberts', 1: 'Denzel Washington', 2: 'Sam Shepard', 3: 'William Atherton', 4: 'John Lithgow', 5: 'Tom Quinn', 6: 'John Heard'}",Alan J. Pakula,141,371,0,0,1,45000000,195268056,17.923254,6.3,0.66,0.51,0.5,1993-12-16
The Client,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]","{0: 'Susan Sarandon', 1: 'Tommy Lee Jones', 2: 'Mary-Louise Parker', 3: 'Anthony LaPaglia', 4: 'Bradley Whitford', 5: 'Will Patton', 6: 'Brad Renfro'}",Joel Schumacher,119,278,1,0,1,45000000,117615211,17.746719,6.4,0.67,0.78,0.65,1994-07-20
The Bucket List,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]","{0: 'Jack Nicholson', 1: 'Morgan Freeman', 2: 'Sean Hayes', 3: 'Beverly Todd', 4: 'Alfonso Freeman', 5: 'Rowena King', 6: 'Rob Morrow'}",Rob Reiner,97,1111,0,1,1,45000000,175372502,31.305336,7,0.74,0.4,0.42,2007-12-25
Patriot Games,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]","{0: 'Harrison Ford', 1: 'Anne Archer', 2: 'Patrick Bergin', 3: 'Thora Birch', 4: 'James Fox', 5: 'Samuel L. Jackson', 6: 'Polly Walker'}",Phillip Noyce,117,433,0,1,1,45000000,178051587,19.637704,6.3,0.69,0.74,0.64,1992-06-04
Monster-in-Law,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]","{0: 'Jennifer Lopez', 1: 'Jane Fonda', 2: 'Michael Vartan', 3: 'Wanda Sykes', 4: 'Adam Scott', 5: 'Monet Mazur', 6: 'Annie Parisse'}",Robert Luketic,101,406,1,0,1,43000000,154749918,10.411996,5.6,0.55,0.16,0.31,2005-05-13
Prisoners,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]","{0: 'Hugh Jackman', 1: 'Jake Gyllenhaal', 2: 'Paul Dano', 3: 'Maria Bello', 4: 'Melissa Leo', 5: 'Viola Davis', 6: 'Terrence Howard'}",Denis Villeneuve,153,3085,0,1,1,46000000,122126687,88.496873,7.9,0.81,0.82,0.74,2013-09-18
Training Day,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Denzel Washington', 1: 'Ethan Hawke', 2: 'Scott Glenn', 3: 'Tom Berenger', 4: 'Harris Yulin', 5: 'Cliff Curtis', 6: 'Snoop Dogg'}",Antoine Fuqua,122,1634,0,0,1,45000000,104876233,52.081131,7.3,0.77,0.72,0.69,2001-10-05
Galaxy Quest,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Tim Allen', 1: 'Sigourney Weaver', 2: 'Alan Rickman', 3: 'Tony Shalhoub', 4: 'Sam Rockwell', 5: 'Daryl Mitchell', 6: 'Enrico Colantoni'}",Dean Parisot,102,710,0,0,1,45000000,90683916,30.816341,6.9,0.73,0.9,0.7,1999-12-23
Scary Movie 2,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Anna Faris', 1: 'Marlon Wayans', 2: 'James DeBello', 3: 'Shawn Wayans', 4: 'David Cross', 5: 'Christopher Masterson', 6: 'Regina Hall'}",Keenen Ivory Wayans,83,982,1,0,1,45000000,141220678,35.376971,5.4,0.53,0.15,0.29,2001-07-04
The Muppets,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]","{0: 'Amy Adams', 1: 'Jason Segel', 2: 'Emily Blunt', 3: 'John Krasinski', 4: 'Zach Galifianakis', 5: 'Jack Black', 6: 'Jim Parsons'}",James Bobin,103,501,0,1,1,45000000,165184237,17.047276,6.5,0.71,0.95,0.75,2011-11-22
Blade,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Wesley Snipes', 1: 'Stephen Dorff', 2: 'Kris Kristofferson', 3: ""N'Bushe Wright"", 4: 'Donal Logue', 5: 'Udo Kier', 6: 'Arly Jover'}",Stephen Norrington,120,1905,1,0,1,45000000,131183530,43.815492,6.5,0.71,0.54,0.45,1998-08-21
Coach Carter,"[{""id"": 18, ""name"": ""Drama""}]","{0: 'Samuel L. Jackson', 1: 'Rob Brown', 2: ""Robert Ri'chard"", 3: 'Rick Gonzalez', 4: 'Channing Tatum', 5: 'Texas Battle', 6: 'Lacey Beeman'}",Thomas Carter,136,496,0,1,0,30000000,76669806,23.234651,7.3,0.73,0.64,0.57,2005-01-14
Changing Lanes,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Ben Affleck', 1: 'Samuel L. Jackson', 2: 'Kim Staunton', 3: 'Toni Collette', 4: 'Sydney Pollack', 5: 'Matt Malloy', 6: 'William Hurt'}",Roger Michell,89,299,0,1,1,45000000,94935764,17.270539,5.9,0.65,0.77,0.69,2002-04-07
Anaconda,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Jennifer Lopez', 1: 'Ice Cube', 2: 'Jon Voight', 3: 'Eric Stoltz', 4: 'Owen Wilson', 5: 'Jonathan Hyde', 6: 'Kari Wuhrer'}",Luis Llosa,89,610,0,0,1,45000000,136885767,27.684779,4.7,0.47,0.39,0.37,1997-04-11
Coyote Ugly,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Piper Perabo', 1: 'Adam Garcia', 2: 'John Goodman', 3: 'Izabella Miko', 4: 'Tyra Banks', 5: 'Maria Bello', 6: 'Bridget Moynahan'}",David McNally,100,575,1,0,1,45000000,113916474,26.79781,5.8,0.56,0.23,0.27,2000-07-30
Love Actually,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Keira Knightley', 1: 'Heike Makatsch', 2: 'Emma Thompson', 3: 'Laura Linney', 4: 'Hugh Grant', 5: 'January Jones', 6: 'Bill Nighy'}",Richard Curtis,135,1869,0,0,1,40000000,244931766,37.073127,7,0.76,0.63,0.55,2003-09-07
A Bug's Life,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Kevin Spacey', 1: 'Julia Louis-Dreyfus', 2: 'Hayden Panettiere', 3: 'Phyllis Diller', 4: 'Bonnie Hunt', 5: 'Joe Ranft', 6: 'Jonathan Harris'}",John Lasseter,95,2303,0,0,1,120000000,363258859,87.350802,6.8,0.72,0.92,0.77,1998-11-25
From Hell,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Johnny Depp', 1: 'Heather Graham', 2: 'Ian Holm', 3: 'Robbie Coltrane', 4: 'Ian Richardson', 5: 'Jason Flemyng', 6: 'Katrin Cartlidge'}",Allen Hughes,122,741,0,1,1,35000000,74558115,26.134678,6.6,0.68,0.57,0.54,2001-10-19
Tin Cup,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Kevin Costner', 1: 'Don Johnson', 2: 'Cheech Marin', 3: 'George Perez', 4: 'Rene Russo', 5: 'Linda Hart', 6: 'Dennis Burkley'}",Ron Shelton,135,150,1,0,1,45000000,53854588,10.731574,5.9,0.63,0.69,0.6,1996-08-16
Kicking & Screaming,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Will Ferrell', 1: 'Robert Duvall', 2: 'Kate Walsh', 3: 'Musetta Vander', 4: 'Josh Hutcherson', 5: 'Steven Anthony Lawrence', 6: 'Mike Ditka'}",Jesse Dylan,95,176,1,0,1,45000000,56070433,8.99269,5.6,0.56,0.42,0.45,2005-05-13
The Hitchhiker's Guide to the Galaxy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Martin Freeman', 1: 'Zooey Deschanel', 2: 'Sam Rockwell', 3: 'Yasiin Bey', 4: 'John Malkovich', 5: 'Helen Mirren', 6: 'Stephen Fry'}",Garth Jennings,109,1315,0,0,1,50000000,104478416,51.742065,6.6,0.68,0.6,0.63,2005-01-15
Resident Evil: Extinction,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Milla Jovovich', 1: 'Oded Fehr', 2: 'Ali Larter', 3: 'Iain Glen', 4: 'Mike Epps', 5: 'Ashanti', 6: 'Spencer Locke'}",Russell Mulcahy,94,1292,0,0,1,45000000,148412065,12.06538,6.1,0.63,0.23,0.41,2007-09-20
Blended,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Drew Barrymore', 1: 'Adam Sandler', 2: 'Wendi McLendon-Covey', 3: 'Bella Thorne', 4: 'Terry Crews', 5: 'Joel McHale', 6: 'Lauren Lapkus'}",Frank Coraci,117,1006,1,0,1,40000000,123494610,44.120328,6.6,0.65,0.14,0.31,2014-05-21
Last Holiday,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Queen Latifah', 1: 'LL Cool J', 2: 'Timothy Hutton', 3: 'Giancarlo Esposito', 4: 'Alicia Witt', 5: 'Gérard Depardieu', 6: 'Jane Adams'}",Wayne Wang,112,119,0,0,1,45000000,38399961,6.156015,6.4,0.64,0.55,0.52,2006-01-13
Savages,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Blake Lively', 1: 'Taylor Kitsch', 2: 'Aaron Taylor-Johnson', 3: 'Benicio del Toro', 4: 'Salma Hayek', 5: 'John Travolta', 6: 'Demián Bichir'}",Oliver Stone,131,766,1,0,1,45000000,82966152,31.856589,6.2,0.65,0.51,0.59,2012-07-06
Cellular,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Chris Evans', 1: 'Kim Basinger', 2: 'Jason Statham', 3: 'Jessica Biel', 4: 'William H. Macy', 5: 'Will Beinbrink', 6: 'Valerie Cruz'}",David R. Ellis,94,537,0,1,1,25000000,56422687,24.459948,6.1,0.65,0.55,0.6,2004-09-06
Johnny English,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]","{0: 'Rowan Atkinson', 1: 'John Malkovich', 2: 'Natalie Imbruglia', 3: 'Tasha de Vasconcelos', 4: 'Ben Miller', 5: 'Greg Wise', 6: 'Douglas McFerran'}",Peter Howitt,88,852,0,0,1,40000000,160583018,28.029015,6,0.61,0.33,0.51,2003-04-06
The Ant Bully,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Julia Roberts', 1: 'Meryl Streep', 2: 'Nicolas Cage', 3: 'Paul Giamatti', 4: 'Bruce Campbell', 5: 'Regina King', 6: 'Lily Tomlin'}",John A. Davis,88,366,1,0,1,50000000,55181129,20.239061,5.5,0.59,0.63,0.59,2006-07-27
Revolutionary Road,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Leonardo DiCaprio', 1: 'Kate Winslet', 2: 'Michael Shannon', 3: 'Kathryn Hahn', 4: 'David Harbour', 5: 'Kathy Bates', 6: 'Ty Simpkins'}",Sam Mendes,119,796,0,1,0,35000000,75225693,20.360549,6.7,0.73,0.68,0.69,2008-12-19
16 Blocks,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Bruce Willis', 1: 'Yasiin Bey', 2: 'David Morse', 3: 'Jenna Stern', 4: 'David Zayas', 5: 'Casey Sander', 6: 'Cylk Cozart'}",Richard Donner,105,661,0,1,1,55000000,65664721,32.31022,6.2,0.66,0.56,0.63,2006-03-01
Babylon A.D.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Vin Diesel', 1: 'Michelle Yeoh', 2: 'Mélanie Thierry', 3: 'Lambert Wilson', 4: 'Charlotte Rampling', 5: 'Gérard Depardieu', 6: 'Mark Strong'}",Mathieu Kassovitz,101,676,1,0,1,70000000,72108608,27.568194,5.4,0.56,0.06,0.26,2008-08-20
Aliens in the Attic,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Carter Jenkins', 1: 'Austin Butler', 2: 'Kevin Nealon', 3: 'Robert Hoffman', 4: 'Doris Roberts', 5: 'Tim Meadows', 6: 'Ashley Boettcher'}",John Schultz,86,244,1,0,1,45000000,57881056,13.707183,5.3,0.54,0.31,0.42,2009-07-31
The Pledge,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Jack Nicholson', 1: 'Aaron Eckhart', 2: 'Helen Mirren', 3: 'Robin Wright', 4: 'Vanessa Redgrave', 5: 'Sam Shepard', 6: 'Benicio del Toro'}",Sean Penn,123,215,0,0,1,35000000,29400000,12.495436,6.5,0.68,0.78,0.71,2001-01-09
The Producers,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]","{0: 'Matthew Broderick', 1: 'Uma Thurman', 2: 'Will Ferrell', 3: 'Eileen Essell', 4: 'Gary Beach', 5: 'Michael McKean', 6: 'David Huddleston'}",Susan Stroman,134,151,0,0,1,45000000,38058335,6.803965,6.1,0.77,0.91,0.97,2005-12-25
All the Pretty Horses,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 37, ""name"": ""Western""}]","{0: 'Matt Damon', 1: 'Henry Thomas', 2: 'Penélope Cruz', 3: 'Sam Shepard', 4: 'Robert Patrick', 5: 'Lucas Black', 6: 'Jesse Plemons'}",Billy Bob Thornton,117,60,0,1,0,57000000,0,7.524671,5.8,0.58,0.32,0.55,2000-12-11
Nixon,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Anthony Hopkins', 1: 'Joan Allen', 2: 'Powers Boothe', 3: 'Ed Harris', 4: 'Bob Hoskins', 5: 'E.G. Marshall', 6: 'David Paymer'}",Oliver Stone,192,71,0,0,0,44000000,13681765,3.770161,7.1,0.71,0.75,0.66,1995-12-22
The Ghost Writer,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]","{0: 'Ewan McGregor', 1: 'Pierce Brosnan', 2: 'Jon Bernthal', 3: 'Kim Cattrall', 4: 'Tom Wilkinson', 5: 'Olivia Williams', 6: 'Timothy Hutton'}",Roman Polanski,128,670,0,0,1,45000000,60222298,21.118196,6.7,0.72,0.83,0.77,2010-02-12
Miracle at St. Anna,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]","{0: 'Derek Luke', 1: 'Michael Ealy', 2: 'Laz Alonso', 3: 'John Turturro', 4: 'Valentina Cervi', 5: 'Joseph Gordon-Levitt', 6: 'John Leguizamo'}",Spike Lee,160,90,0,0,0,45000000,9323833,11.387408,6.3,0.6,0.33,0.37,2008-09-15
Curse of the Golden Flower,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Chow Yun-fat', 1: 'Gong Li', 2: 'Jay Chou', 3: 'Liu Ye', 4: 'Qin Jun-Jie', 5: 'Li Man', 6: 'Ni Dahong'}",Zhang Yimou,114,203,0,0,1,110,0,9.950505,6.6,0.7,0.66,0.7,2006-12-21
Bangkok Dangerous,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Nicolas Cage', 1: 'Shahkrit Yamnarm', 2: 'Charlie Yeung', 3: 'Panward Hemmanee', 4: 'Nirattisai Kaljaruek', 5: 'Dom Hetrakul', 6: 'Tuck Napaskorn'}",Oxide Pang Chun,99,332,1,0,1,45000000,42487390,14.813057,5,0.54,0.08,0.24,2008-08-21
Big Trouble,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Tim Allen', 1: 'Rene Russo', 2: 'Patrick Warburton', 3: 'Ben Foster', 4: 'Zooey Deschanel', 5: 'Stanley Tucci', 6: 'Tom Sizemore'}",Barry Sonnenfeld,85,80,0,0,1,40000000,8493890,5.201688,6.3,0.65,0.48,0.47,2002-04-05
Love in the Time of Cholera,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Javier Bardem', 1: 'Unax Ugalde', 2: 'Benjamin Bratt', 3: 'Catalina Sandino Moreno', 4: 'Héctor Elizondo', 5: 'Liev Schreiber', 6: 'Fernanda Montenegro'}",Mike Newell,139,81,0,0,0,45000000,4607608,5.361699,6.4,0.64,0.25,0.43,2007-10-04
Johnny English Reborn,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Rowan Atkinson', 1: 'Dominic West', 2: 'Gillian Anderson', 3: 'Rosamund Pike', 4: 'Daniel Kaluuya', 5: 'Tim McInnerny', 6: 'Stephen Campbell Moore'}",Oliver Parker,101,1007,0,0,1,45000000,160078586,35.6585,6,0.63,0.38,0.46,2011-09-15
Argo,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Ben Affleck', 1: 'Bryan Cranston', 2: 'Alan Arkin', 3: 'John Goodman', 4: 'Victor Garber', 5: 'Tate Donovan', 6: 'Clea DuVall'}",Ben Affleck,120,3423,0,0,1,44500000,232324128,62.01056,7.1,0.77,0.96,0.86,2012-10-11
